Organization Name,Organization Name URL,Growth Category,Number of Employees,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Full Description,Headquarters Location,Description,CB Rank (Company),Acquired by,Acquired by URL,Acquisition Type,Acquisition Terms,Estimated Revenue Range,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Founders,Number of Founders,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Industries
Arya.ag,https://www.crunchbase.com/organization/arya-collateral,Growing,1001-5000,Debt Financing,19800000,USD,19800000,"Arya.ag, India’s largest grain commerce platform, bridges the gap between sellers and buyers of agriproduce providing complete assurance on quantity, quality, payments. Our clients include farmers, farmer producer organisations (FPOs), financial institutions, SME Agri processors, commodity traders and corporate agribusinesses. With visibility over 11,000 commodity storage points across the country, Arya.ag assures year-round supply to SME and corporate buyers with embedded financing options.","Noida, Uttar Pradesh, India","Arya.ag is a grain commerce platform that provides farmers quality, quantity, and easy payment ways through technology.","3,659",,,,,$10M to $50M,1982-01-01,year,Active,,,,,For Profit,https://www.arya.ag/,https://www.linkedin.com/company/aryadotag/,"Anand Chandra, Chattanathan Devarajan, Margapuri Prasanna Rao",3,3,136805176,USD,136805176,"U.S. International Development Finance Corp, Quona Capital, Lightrock, Blue Earth Capital, Asia Impact",5,5,"Agriculture, AgTech, FinTech, Information Technology"
Regrow Ag,https://www.crunchbase.com/organization/flurosat,Growing,101-250,Series B,38000000,USD,38000000,"Regrow is the first digital platform to unlock the power and profitability of resilient agriculture through a single, measurable and verifiable system. Regrow combines best-in-class agronomy with soil and carbon modeling to deliver customized, site-specific and scalable solutions to businesses across the supply chain.","Durham, New Hampshire, United States","Regrow combines agronomy and scenario planning with monitoring, reporting, and verification.","3,726",,,,,Less than $1M,2016-11-13,day,Active,,,,,For Profit,http://regrow.ag,https://www.linkedin.com/company/regrowag,"Anastasia Volkova, William Salas",2,7,63576581,USD,63576581,"M12 - Microsoft's Venture Fund, Artesian VC, Costanoa Ventures, Airtree Ventures, Main Sequence Ventures",7,19,"Agriculture, AgTech, Farming"
Babylon Micro-Farms,https://www.crunchbase.com/organization/babylon-micro-farms,Growing,11-50,Series A,8000000,USD,8000000,"Babylon Micro-Farms offers a smart, scalable indoor farm tailored to meet the client's needs. At the touch of a button, Babylon delivers a simple yet engaging indoor growing experience. Babylon Micro-Farms is leveraging its remote management technology to develop a complete indoor farming platform that will power a distributed network of micro-farms across North America. They designed a low-cost microfarm to provide nutritious produce for food-insecure refugees in the Middle East. Alexander and Graham were initially inspired by the desire to bring the benefits of sustainable hydroponic farming to those who needed them. They set out to develop technology that would automate the complex aspects of indoor farming and, in doing so, make this transformative method of crop production accessible to anyone.","Richmond, Virginia, United States",Babylon Micro-Farms offers on-demand indoor farming technology to make sustainable indoor farming accessible.,"3,847",,,,,$10M to $50M,2017-04-01,day,Active,,,,,For Profit,https://www.babylonmicrofarms.com,https://www.linkedin.com/company/babylon-micro-farms,"Alexander Olesen, Graham Smith",2,12,19097158,USD,19097158,"National Science Foundation, Plug and Play, Lighthouse Labs RVA, Virginia Venture Partners, Center for Innovative Technology",5,10,"Agriculture, AgTech, Horticulture"
Windfall Bio,https://www.crunchbase.com/organization/windfall-bio,Growing,11-50,Series A,28000000,USD,28000000,"Windfall Bio has developed a sustainable solution to capture and transform climate-harming methane emissions into organic fertilizer, addressing both an underappreciated contributor to climate change as well as the negative environmental impacts associated with the overuse of synthetic fertilizer. Windfall’s nature-based solution harnesses methane-eating microbes to transform methane from any source into valuable outputs, creating a rare win-win-win scenario for the planet, producers, and consumers. The company’s solution allows industries such as agriculture, oil and gas, and waste management to reduce their methane footprint while operating more efficiently and improving their profitability and environmental impact. Founded in 2022 and based in San Mateo, CA, Windfall Bio is venture-backed by top-tier firms including Amazon’s Climate Pledge Fund, B37 Ventures, Baruch Future Ventures, Bessemer Venture Partners, Breakthrough Energy Ventures, Cavallo Ventures, Global Brain (through its Norinchukin Innovation Fund L.P.), Incite Ventures, MCJ Collective, Mayfield, Positive Ventures, Prelude Ventures, and UNTITLED (a fund backed by the Tetra Laval family). To learn more about how Windfall Bio turns a climate and business woe into a windfall, visit www.windfall.bio.","San Mateo, California, United States",Naturally transforming harmful methane into organic fertilizer using the power of microbes.,"3,946",,,,,$1M to $10M,2022-03-01,month,Active,,,,,For Profit,https://www.windfall.bio/,https://www.linkedin.com/company/windfallbio/about/,"Josh Silverman, Louis Stenmark",2,3,37000000,USD,37000000,"Breakthrough Energy Ventures, Global Brain Corporation, Bessemer Venture Partners, Mayfield Fund, SOSV",4,14,"Agriculture, AgTech, Mining, Oil and Gas, Waste Management"
Clean Crop Technologies,https://www.crunchbase.com/organization/clean-crop-technologies,Growing,11-50,Grant,1200000,USD,1200000,"Clean Crop Technologies (""Clean Crop"") is a Holyoke, Massachusetts-based company that uses electricity to fight food waste and food safety risk. Clean Crop's proprietary 'Clean Current' technology combines electricity and food-grade gas to remove contaminants from seeds and foods to increase crop yields, reduce food waste, and increase food safety.","Holyoke, Massachusetts, United States","Clean Crop Technologies specializes in advanced treatments for foods and seeds, effectively reducing mold, pathogens, and bacteria.","4,121",,,,,$1M to $10M,2020-01-31,day,Active,,,,,For Profit,https://cleancroptech.com/,https://www.linkedin.com/company/clean-crop-technologies,"Dan White, Daniel Cavanaugh",2,7,15949000,USD,15949000,"Nexus Venture Partners, University of Connecticut, ReGen Ventures, Connecticut Green Bank, Active Impact Investments",5,27,"AgTech, CleanTech, Farming, Food Processing, Quality Assurance, Waste Management"
InnerPlant,https://www.crunchbase.com/organization/innerplant,Growing,11-50,Series B,30000000,USD,30000000,"InnerPlant is an ag-tech company that features a data platform that increases field health and drives value throughout the supply chain.  The company was founded in 2018 and is based in Davis, California.","Davis, California, United States",InnerPlant is harnessing plant physiology to unlock data at scale and boost global agricultural yields and sustainability.,"4,167",,,,,$1M to $10M,2018-01-01,month,Active,,,,,For Profit,http://innerplant.com,https://www.linkedin.com/company/innerplant,"Rod Kumimoto, Shely Aronov",2,8,52300000,USD,52300000,"SYSTEMIQ, Bee Partners, John Deere, Bison Ventures, UpWest",5,13,"Agriculture, AgTech, Sensor"
Paleo,https://www.crunchbase.com/organization/paleo-5892,,1-10,Grant,,,,"Paleo is a food ingredient company that develops ingredients for plant-based foods, making them tasty, healthy, and more sustainable, feel and look like real meat or fish without hurting animals through bioscience.","Leuven, Vlaams-Brabant, Belgium","Paleo is a food ingredient company that develops ingredients for plant-based foods, making it taste, feel and look like real meat or fish.","4,269",,,,,,2020-01-01,year,Active,,,,,For Profit,https://paleo.bio/,https://www.linkedin.com/company/paleo-taste,"Andy de Jong, Hermes Sanctorum",2,4,19040342,USD,19040342,"European Union, Planet A Ventures, Gimv, SFPIM, Beyond Impact",3,7,"AgTech, Food Processing, Plant-Based Foods"
DeHaat,https://www.crunchbase.com/organization/dehaat,Growing,1001-5000,Debt Financing,,,,"DeHaat is a technology-led platform that offers end-to-end agriculture services to Indian farmers with an aim to improve the efficiencies of the agriculture value chain. DeHaat connects small farmers to their various needs – Seeds, fertilizers, equipment, crop advisory, and market linkage through a wide network of trained micro-entrepreneurs. Registered farmers get access to a wide range of agricultural inputs (Seed, Fertilizer, and Crop protection) directly from competitive sources. Subsequently, they get customized crop reminder calls in the local language as well as crop monitoring support from the same DeHaat micro-entrepreneur. Lastly, they sell the farm produce directly to institutional buyers. Farmers place their various demands related to Agri input, field visits or Agri output either through the toll-free number or mobile application and get last-mile services through assigned micro-entrepreneur.","Patna City, Bihar, India",DeHaat is an AgriTech startup that offers technology solutions to improve supply chain and production efficiency in farming.,"4,328",,,,,$500M to $1B,2012-02-06,day,Active,,,,,For Profit,http://agrevolution.in,https://www.linkedin.com/company/dehaat,"Abhishek Dokania, Adarsh Srivastava, Amrendra Singh, Shashank Kumar, Shyam Sundar Singh",5,8,224286284,USD,224286284,"BlackSoil, AgFunder, Peak XV Partners, Trifecta Capital Advisors, Lightrock",9,12,"Agriculture, AgTech, Farming, Productivity Tools"
Advanta Seeds,https://www.crunchbase.com/organization/advanta-seeds,Growing,1001-5000,Secondary Market,250000000,USD,250000000,"Advanta Seeds is focused on sustainable agriculture and providing farmers with quality seeds. Access to high-quality seeds, especially to smallholder farmers, is an essential part of the solution to global food security. Our proprietary technologies develop better quality hybrids and increase crop yield resulting in market leadership across various products in different regions. Advanta Seeds was established in 2013 in Dubai, United Arab Emirates.","Dubai, Dubai, United Arab Emirates",Advanta Seeds specializes in the development of farming solutions and technology in plant breeding.,"4,335",Fox Paine & Company,https://www.crunchbase.com/organization/fox-paine-company,Acquisition,,,1994-01-01,year,Active,2004-05-13,day,,,For Profit,https://advantaseeds.com/,https://www.linkedin.com/company/advantaseeds/,,,3,650000000,USD,650000000,"Kohlberg Kravis Roberts, Alpha Wave Global",2,2,"Agriculture, AgTech, Biotechnology, Farming"
Specright,https://www.crunchbase.com/organization/specright,,101-250,Series B,32855130,USD,32855130,"Specright is the first cloud-based, patented platform for Specification Data Management™. Whether it’s packaging, raw materials, formulas, products, or machines, Specright helps companies digitize, map, and take action across their supply chain to reduce costs, increase profitability, and drive sustainability.","Tustin, California, United States",Specright's patented Specification Management platform enables companies to manage product & packaging data across their supply chain.,"4,467",,,,,$10M to $50M,2014-11-01,month,Active,,,,,For Profit,http://www.specright.com,https://www.linkedin.com/company/specrightinc,"Erik Rannala, Matthew Wright",2,6,44810403,USD,44810403,"VMG Partners, Mucker Capital, Sageview Capital, Fika Ventures, Okapi Venture Capital",2,7,"AgTech, Software, Supply Chain Management"
